modulo;cut;curec;cusac.cut;cuscn.cut;IS;arctot;malla3octavos;malla100;malla200;diasmuestreo1;recupmuestreo1
410-I;0,432;0,355;21,6;64,3;85,9;3,8;38,8;11;8,3;33;44,27
411-I;0,467;0,385;28,6;57,1;85,7;4,6;38,3;12;9,3;31;31,69
501-I;0,37;0,319;20,1;73,3;93,4;5,3;35,4;11,2;9;36;50,93
502-I;0,403;0,343;17,3;75;92,3;5,1;36,5;10,8;8,7;36;56,62
503-I;0,649;0,534;15,2;75,8;91;5,1;34,5;12;9,3;32;32,25
504-I;0,468;0,376;14,8;68,8;83,6;4,7;35,1;12;9,5;31;34,35
506-II;0,518;0,407;24,8;53,6;78,4;6,1;34,1;11,8;9,2;31;47,31
507-I;0,477;0,356;16,8;57;73,8;5,4;35,3;12;9,5;34;35,67
508-I;0,434;0,352;14,3;70,4;84,7;6,7;35,1;13,1;10,3;32;35,54
509-I;0,464;0,374;17,2;66,8;84;5,1;34,2;12;9,3;31;36,8
511-I;0,399;0,327;16,2;69,4;85,6;5,1;34,8;13;10;35;45,41
512-I;0,503;0,391;16,7;61,2;77,9;4,1;33,5;11,5;8,9;33;43,99
512-II;0,532;0,395;16,5;54,2;70,7;3,2;34,3;11;8,2;34;38,85
512-III;0,394;0,315;16,8;63,2;80;4,4;35,8;11,2;8,7;30;37,5
513-I;0,368;0,309;15;74,1;89,1;4,9;37,9;11,4;8,9;31;47,22
514-I;0,554;0,449;13,6;73,5;87,1;5,9;36,3;11,1;8,4;33;40,25
514-II;0,516;0,415;25,3;57,6;82,9;5,3;33,7;12,5;9,8;32;42,11
514-III;0,461;0,36;16,9;61,2;78,1;4,8;35,9;11,9;9,2;34;43,97
515-I;0,464;0,353;24;48,4;72,4;5,9;33,5;11,6;9;32;40,49
515-II;0,468;0,361;24,4;49,7;74,1;7,5;32,8;12,6;9,5;32;36,18
516-I;0,507;0,389;21,9;53;74,9;5,8;33,1;12,1;9,6;30;41,2
516-II;0,464;0,347;22,2;47,1;69,3;5,8;33,8;13;10,1;31;26,87
517-I;0,522;0,433;21,2;68,3;89,5;6,3;32,5;11,7;8,9;32;43,89
517-II;0,605;0,476;17,9;63,6;81,5;8,9;32,4;13,8;10,5;31;22,08
518-I;0,434;0,307;22;59,4;81,4;7;33,5;13;10,1;32;38,73
518-II;0,467;0,372;19,9;61;80,9;7,9;34,7;12,6;9,9;31;33,82
519-I;0,394;0,302;17,2;55,3;72,5;7,4;32,6;12,7;9,8;31;40,75
519-II;0,533;0,427;18,8;65;83,8;7,6;34,2;12,2;9,6;31;34,63
601-I;0,436;0,348;15,2;66,3;81,5;4,4;36,1;11,1;8,7;31;40,3
602-I;0,346;0,272;14,1;61,9;76;4,8;36,7;11;8,8;33;41,91
603-I;0,428;0,331;14,6;61,2;75,8;4,1;37,7;9,9;7,9;33;39,28
603-II;0,423;0,306;14,1;50;64,1;4,7;36;10,5;7,9;31;29,55
604-I;0,377;0,294;16,7;58,3;75;5;35,2;10,7;8,3;37;41,23
604-II;0,459;0,346;17,4;54,1;71,5;5,4;35,5;10,5;8;33;32,51
605-I;0,47;0,375;18,6;63,2;81,8;4,3;35,4;10,9;8,5;33;43,61
605-II;0,414;0,322;13,3;63,1;76,4;4,2;36,1;11,4;9,1;32;39,11
606-I;0,42;0,349;14,5;74,4;88,9;5,1;37,7;12,4;9,7;32;35,9
606-II;0,423;0,352;24;63,6;87,6;3,5;36,1;10,2;7,9;31;44,27
606-III;0,454;0,378;22,7;65,9;88,6;4,6;34,9;10,8;8,5;30;40,76
607-I;0,47;0,383;17,1;68,7;85,8;3,9;40,3;9,4;7,4;30;45,24
607-II;0,516;0,392;15;59,5;74,5;3,3;37,6;9,4;7,1;32;42,21
607-III;0,427;0,321;15,1;55,5;70,6;2,5;38,3;8,8;6,9;33;38,1
608-I;0,489;0,373;15,8;58,7;74,5;2,7;37,1;9,1;6,8;35;43,48
608-II;0,478;0,348;13,5;53,4;66,9;2,5;38,5;8,4;6,5;35;38,66
608-III;0,393;0,318;20,6;61,2;81,8;6;33,9;12,1;9,1;25;38,73
609-I;0,521;0,398;13,1;63,2;76,3;3,3;35,7;10,7;7,9;33;39,82
609-II;0,399;0,308;13,9;61;74,9;5;36,7;13;9,7;34;31,17
610-I;0,43;0,318;16,4;51,4;67,8;3,8;35,6;10,2;7,7;31;30,27
611-I;0,369;0,29;18,8;57,2;76;3,1;34,1;10,3;7,7;31;45,92
611-II;0,369;0,284;18,9;53,1;72;2,7;35,4;9,4;7,1;31;42,15
611-III;0,469;0,367;21,5;56;77,5;4,9;33,5;10,7;8,1;31;32,2
611-IV;0,491;0,377;24,5;49,8;74,3;6,2;32,7;11,7;8,8;31;40,75
612-I;0,415;0,33;14,3;66,4;80,7;3,7;34,7;12,4;9,5;30;32,44
613-I;0,424;0,338;22,3;57,2;79,5;6,3;33,6;12,7;9,7;30;42,17
613-II;0,501;0,397;23,7;56,7;80,4;6,3;33,7;12,1;9,1;31;44,41
613-III;0,403;0,317;25,4;50,5;75,9;4,9;34;11,5;8,6;33;48,56
614-I;0,403;0,325;22,9;58,4;81,3;5;32,1;11,5;8,6;31;40,84
614-II;0,43;0,339;18,7;59,6;78,3;4,3;33;11,7;9;34;48,86
614-III;0,456;0,357;11,8;67,5;79,3;3,7;37,9;13;9,8;34;42,52
615-I;0,32;0,236;13,6;49,6;63,2;3;37,9;11,2;8,6;34;40,48
615-II;0,331;0,257;16,2;56,3;72,5;2,4;38,9;9;6,9;35;40,23
616-I;0,326;0,245;14,6;52,5;67,1;3,7;36,7;11;9,1;42;38,77
616-II;0,306;0,227;14,6;49,6;64,2;3,5;36,2;10,4;8,1;41;42,87
617-I;0,349;0,274;12,2;64,2;76,4;6,3;35,5;14,1;11,2;38;35,76
617-II;0,336;0,26;11,7;61,2;72,9;6,2;34,5;13,7;10,7;37;41,5
618-II;0,301;0,222;20;41,8;61,8;4,5;35,1;10,9;8,6;42;40,19
701-I;0,312;0,246;18,7;55,7;74,4;4;35,4;11;8,6;33;45,2
702-I;0,301;0,24;23,1;51,3;74,4;3,9;35,5;10,9;8,8;31;28,58
703-I;0,41;0,324;24,6;52,8;77,4;5,3;34,7;12,5;9,7;38;48,98
703-II;0,448;0,33;17,2;50,1;67,3;4,4;35,8;11,5;8,9;38;37,77
704-I;0,347;0,235;10,3;41,9;52,2;4,4;37,7;10,8;8,6;40;28,71
704-II;0,338;0,254;13,8;54,1;67,9;3,4;39,2;9,9;7,8;37;36,09
705-II;0,55;0,457;18;73,1;91,1;3,7;35,5;10,7;8,3;34;37,77
705-III;0,461;0,381;17,7;70,3;88;4;35,9;10,4;8,3;30;47,42
706-I;0,493;0,385;11,3;68,1;79,4;5,1;34,2;12;9,4;34;42,88
