cut;cusac.cut;IS;arctot;malla100;diasmuestreo1;recupmuestreo1
0.432;21.6;85.9;3.8;11;33;44.27
0.467;28.6;85.7;4.6;12;31;31.69
0.37;20.1;93.4;5.3;11.2;36;50.93
0.403;17.3;92.3;5.1;10.8;36;56.62
0.649;15.2;91;5.1;12;32;32.25
0.468;14.8;83.6;4.7;12;31;34.35
0.518;24.8;78.4;6.1;11.8;31;47.31
0.477;16.8;73.8;5.4;12;34;35.67
0.434;14.3;84.7;6.7;13.1;32;35.54
0.464;17.2;84;5.1;12;31;36.8
0.399;16.2;85.6;5.1;13;35;45.41
0.503;16.7;77.9;4.1;11.5;33;43.99
0.532;16.5;70.7;3.2;11;34;38.85
0.394;16.8;80;4.4;11.2;30;37.5
0.368;15;89.1;4.9;11.4;31;47.22
0.554;13.6;87.1;5.9;11.1;33;40.25
0.516;25.3;82.9;5.3;12.5;32;42.11
0.461;16.9;78.1;4.8;11.9;34;43.97
0.464;24;72.4;5.9;11.6;32;40.49
0.468;24.4;74.1;7.5;12.6;32;36.18
0.507;21.9;74.9;5.8;12.1;30;41.2
0.464;22.2;69.3;5.8;13;31;26.87
0.522;21.2;89.5;6.3;11.7;32;43.89
0.605;17.9;81.5;8.9;13.8;31;22.08
0.434;22;81.4;7;13;32;38.73
0.467;19.9;80.9;7.9;12.6;31;33.82
0.394;17.2;72.5;7.4;12.7;31;40.75
0.533;18.8;83.8;7.6;12.2;31;34.63
0.436;15.2;81.5;4.4;11.1;31;40.3
0.346;14.1;76;4.8;11;33;41.91
0.428;14.6;75.8;4.1;9.9;33;39.28
0.423;14.1;64.1;4.7;10.5;31;29.55
0.377;16.7;75;5;10.7;37;41.23
0.459;17.4;71.5;5.4;10.5;33;32.51
0.47;18.6;81.8;4.3;10.9;33;43.61
0.414;13.3;76.4;4.2;11.4;32;39.11
0.42;14.5;88.9;5.1;12.4;32;35.9
0.423;24;87.6;3.5;10.2;31;44.27
0.454;22.7;88.6;4.6;10.8;30;40.76
0.47;17.1;85.8;3.9;9.4;30;45.24
0.516;15;74.5;3.3;9.4;32;42.21
0.427;15.1;70.6;2.5;8.8;33;38.1
0.489;15.8;74.5;2.7;9.1;35;43.48
0.478;13.5;66.9;2.5;8.4;35;38.66
0.393;20.6;81.8;6;12.1;25;38.73
0.521;13.1;76.3;3.3;10.7;33;39.82
0.399;13.9;74.9;5;13;34;31.17
0.43;16.4;67.8;3.8;10.2;31;30.27
0.369;18.8;76;3.1;10.3;31;45.92
0.369;18.9;72;2.7;9.4;31;42.15
0.469;21.5;77.5;4.9;10.7;31;32.2
0.491;24.5;74.3;6.2;11.7;31;40.75
0.415;14.3;80.7;3.7;12.4;30;32.44
0.424;22.3;79.5;6.3;12.7;30;42.17
0.501;23.7;80.4;6.3;12.1;31;44.41
0.403;25.4;75.9;4.9;11.5;33;48.56
0.403;22.9;81.3;5;11.5;31;40.84
0.43;18.7;78.3;4.3;11.7;34;48.86
0.456;11.8;79.3;3.7;13;34;42.52
0.32;13.6;63.2;3;11.2;34;40.48
0.331;16.2;72.5;2.4;9;35;40.23
0.326;14.6;67.1;3.7;11;42;38.77
0.306;14.6;64.2;3.5;10.4;41;42.87
0.349;12.2;76.4;6.3;14.1;38;35.76
0.336;11.7;72.9;6.2;13.7;37;41.5
0.301;20;61.8;4.5;10.9;42;40.19
0.312;18.7;74.4;4;11;33;45.2
0.301;23.1;74.4;3.9;10.9;31;28.58
0.41;24.6;77.4;5.3;12.5;38;48.98
0.448;17.2;67.3;4.4;11.5;38;37.77
0.347;10.3;52.2;4.4;10.8;40;28.71
0.338;13.8;67.9;3.4;9.9;37;36.09
0.55;18;91.1;3.7;10.7;34;37.77
0.461;17.7;88;4;10.4;30;47.42
0.493;11.3;79.4;5.1;12;34;42.88
0.549;14.8;80.6;4.1;11.5;33;45.27
0.43;11.6;77.9;3.9;11.5;31;45.5
0.364;12.7;73.9;4.1;11.2;31;40.69
0.341;15.3;59.4;4.4;10.4;32;32.32
0.551;15;92.4;3.5;9.7;37;45.93
0.699;15.3;92.4;4.4;9.7;35;46.75
0.398;12.7;80.9;5.2;12.1;40;45.9
0.373;13;78.1;5;12.7;37;42.66
0.287;14.4;55.3;4.4;11.7;38;35.36
0.436;21.9;83.7;4.1;10.4;37;53.82
0.313;20.5;61.2;2.9;8.8;54;43.03
0.37;15.5;76.6;4.4;12.8;34;39.84
0.369;15.2;82.2;4;11.2;37;49.61
0.54;21.4;43.1;5.2;11.3;33;25.11
0.395;29;66.4;6.3;12.5;35;40.41
0.473;19.5;52;4.4;10.9;37;34.85
0.454;28;58.7;4.5;12;31;39.95
0.391;25.1;63;5;10.9;33;30.81
0.355;22.5;47.55;5.3;10.2;33;25.14
0.46;21.9;52.1;4.6;10.9;30;28.58
0.335;15;45.9;3.6;10;36;27.11
0.489;21.7;86.1;3.6;9.7;37;47.24
0.443;19;69.7;3.7;9.8;43;39.9
0.433;16.7;78.7;5;11.4;45;39.82
0.429;16.4;91.8;4.7;10.6;43;53.43
0.46;17.2;86.6;4.9;11.3;41;34.37
0.343;15.5;71.8;4.4;9.9;44;48.57
0.45;14.9;72.1;4.7;11.9;47;45.45
0.357;15.7;82.6;3.3;10.9;41;49.9
0.388;14.4;73.3;5;11;41;35.08
0.323;16.8;77.8;4;11.8;39;35.14
0.367;15.6;64.6;3.9;9.6;35;39.64
0.401;13.4;58.9;2.8;9.2;32;35.38
0.468;12.2;78.3;5;12.4;34;40.9
0.38;13.3;79.8;3.4;10.3;31;48.56
0.367;13.5;82.5;4.1;10.6;35;45.38
0.526;17.3;86.9;4;10.9;31;37.41
0.437;18;81.7;4.5;12.3;31;40.67
0.412;24.5;82.6;5.4;12.8;33;43.74
0.422;21.3;78.5;4.6;11.4;32;38.32
0.399;28.8;76.1;5.5;12.7;31;39.17
0.413;21.8;76.9;5.5;12.6;31;33.54
0.337;13.9;74.7;4.7;13;30;39.13
0.392;18.7;60.6;4.7;12.9;95;49.02
0.382;26;67;5.2;13.1;92;53.51
0.4;22.3;77.5;5.9;13.2;89;53.79
0.447;33.5;78.2;6.8;12.9;87;58.9
0.4;26.6;79.5;4.6;12;78;61.67
0.389;26.1;73.1;5;12.5;103;58.08
0.372;25.7;73.6;5.3;12.7;73;55.77
0.363;24.7;78.2;5.6;13;69;55.26
