cut,curec,cusac.cut,cuscn.cut,IS,arctot,malla100,malla200,diasmuestreo3,recupmuestreo3
0.432,0.355,21.6,64.3,85.9,3.8,11,8.3,104,70.47
0.467,0.385,28.6,57.1,85.7,4.6,12,9.3,107,66.22
0.37,0.319,20.1,73.3,93.4,5.3,11.2,9,106,78.26
0.403,0.343,17.3,75,92.3,5.1,10.8,8.7,115,78.73
0.649,0.534,15.2,75.8,91,5.1,12,9.3,119,74.55
0.468,0.376,14.8,68.8,83.6,4.7,12,9.5,117,70.54
0.518,0.407,24.8,53.6,78.4,6.1,11.8,9.2,98,74.01
0.477,0.356,16.8,57,73.8,5.4,12,9.5,113,65.41
0.434,0.352,14.3,70.4,84.7,6.7,13.1,10.3,114,66.69
0.464,0.374,17.2,66.8,84,5.1,12,9.3,131,69.09
0.399,0.327,16.2,69.4,85.6,5.1,13,10,143,75.22
0.503,0.391,16.7,61.2,77.9,4.1,11.5,8.9,153,72.2
0.532,0.395,16.5,54.2,70.7,3.2,11,8.2,132,64.38
0.394,0.315,16.8,63.2,80,4.4,11.2,8.7,127,70.47
0.368,0.309,15,74.1,89.1,4.9,11.4,8.9,133,76.88
0.554,0.449,13.6,73.5,87.1,5.9,11.1,8.4,143,70.91
0.516,0.415,25.3,57.6,82.9,5.3,12.5,9.8,146,64.85
0.461,0.36,16.9,61.2,78.1,4.8,11.9,9.2,141,64.81
0.464,0.353,24,48.4,72.4,5.9,11.6,9,155,59.9
0.468,0.361,24.4,49.7,74.1,7.5,12.6,9.5,137,58.09
0.507,0.389,21.9,53,74.9,5.8,12.1,9.6,148,64.28
0.464,0.347,22.2,47.1,69.3,5.8,13,10.1,134,56.11
0.522,0.433,21.2,68.3,89.5,6.3,11.7,8.9,150,74.06
0.605,0.476,17.9,63.6,81.5,8.9,13.8,10.5,133,63.82
0.434,0.307,22,59.4,81.4,7,13,10.1,145,67.01
0.467,0.372,19.9,61,80.9,7.9,12.6,9.9,119,52.33
0.394,0.302,17.2,55.3,72.5,7.4,12.7,9.8,139,58.55
0.533,0.427,18.8,65,83.8,7.6,12.2,9.6,115,60.06
0.436,0.348,15.2,66.3,81.5,4.4,11.1,8.7,147,70.42
0.346,0.272,14.1,61.9,76,4.8,11,8.8,150,63.69
0.428,0.331,14.6,61.2,75.8,4.1,9.9,7.9,157,66.34
0.423,0.306,14.1,50,64.1,4.7,10.5,7.9,143,48.72
