cut,cusac,cuscn,curec,IS,arctot,malla3octavos,malla100,malla200,diasmuestreo3,recupmuestreo3
0.432,0.093,0.278,0.355,85.9,3.8,38.8,11,8.3,104,70.47
0.467,0.134,0.267,0.385,85.7,4.6,38.3,12,9.3,107,66.22
0.37,0.074,0.271,0.319,93.4,5.3,35.4,11.2,9,106,78.26
0.403,0.07,0.302,0.343,92.3,5.1,36.5,10.8,8.7,115,78.73
0.649,0.099,0.493,0.534,91,5.1,34.5,12,9.3,119,74.55
0.468,0.07,0.322,0.376,83.6,4.7,35.1,12,9.5,117,70.54
0.518,0.129,0.278,0.407,78.4,6.1,34.1,11.8,9.2,98,74.01
0.477,0.08,0.272,0.356,73.8,5.4,35.3,12,9.5,113,65.41
0.434,0.062,0.306,0.352,84.7,6.7,35.1,13.1,10.3,114,66.69
0.464,0.08,0.31,0.374,84,5.1,34.2,12,9.3,131,69.09
0.399,0.065,0.276,0.327,85.6,5.1,34.8,13,10,143,75.22
0.503,0.084,0.308,0.391,77.9,4.1,33.5,11.5,8.9,153,72.2
0.532,0.088,0.288,0.395,70.7,3.2,34.3,11,8.2,132,64.38
0.394,0.066,0.249,0.315,80,4.4,35.8,11.2,8.7,127,70.47
0.368,0.055,0.272,0.309,89.1,4.9,37.9,11.4,8.9,133,76.88
0.554,0.076,0.407,0.449,87.1,5.9,36.3,11.1,8.4,143,70.91
0.516,0.131,0.297,0.415,82.9,5.3,33.7,12.5,9.8,146,64.85
0.461,0.078,0.282,0.36,78.1,4.8,35.9,11.9,9.2,141,64.81
0.464,0.111,0.224,0.353,72.4,5.9,33.5,11.6,9,155,59.9
0.468,0.114,0.233,0.361,74.1,7.5,32.8,12.6,9.5,137,58.09
0.507,0.111,0.269,0.389,74.9,5.8,33.1,12.1,9.6,148,64.28
0.464,0.103,0.218,0.347,69.3,5.8,33.8,13,10.1,134,56.11
0.522,0.111,0.356,0.433,89.5,6.3,32.5,11.7,8.9,150,74.06
0.605,0.108,0.385,0.476,81.5,8.9,32.4,13.8,10.5,133,63.82
0.434,0.095,0.258,0.307,81.4,7,33.5,13,10.1,145,67.01
0.467,0.093,0.285,0.372,80.9,7.9,34.7,12.6,9.9,119,52.33
0.394,0.068,0.218,0.302,72.5,7.4,32.6,12.7,9.8,139,58.55
0.533,0.1,0.346,0.427,83.8,7.6,34.2,12.2,9.6,115,60.06
0.436,0.066,0.289,0.348,81.5,4.4,36.1,11.1,8.7,147,70.42
0.346,0.049,0.214,0.272,76,4.8,36.7,11,8.8,150,63.69
0.428,0.062,0.262,0.331,75.8,4.1,37.7,9.9,7.9,157,66.34
0.423,0.059,0.211,0.306,64.1,4.7,36,10.5,7.9,143,48.72
0.377,0.063,0.22,0.294,75,5,35.2,10.7,8.3,156,63.02
0.459,0.08,0.248,0.346,71.5,5.4,35.5,10.5,8,141,57.05
0.47,0.087,0.297,0.375,81.8,4.3,35.4,10.9,8.5,154,69.6
0.414,0.055,0.261,0.322,76.4,4.2,36.1,11.4,9.1,139,62.19
0.42,0.061,0.312,0.349,88.9,5.1,37.7,12.4,9.7,154,69.72
0.423,0.101,0.269,0.352,87.6,3.5,36.1,10.2,7.9,157,76.9
0.454,0.103,0.299,0.378,88.6,4.6,34.9,10.8,8.5,134,76.66
0.47,0.08,0.323,0.383,85.8,3.9,40.3,9.4,7.4,157,74.27
0.516,0.078,0.307,0.392,74.5,3.3,37.6,9.4,7.1,155,67.81
0.427,0.065,0.237,0.321,70.6,2.5,38.3,8.8,6.9,152,61.7
0.489,0.077,0.287,0.373,74.5,2.7,37.1,9.1,6.8,147,66.68
0.478,0.064,0.255,0.348,66.9,2.5,38.5,8.4,6.5,146,59.43
0.393,0.081,0.241,0.318,81.8,6,33.9,12.1,9.1,65,53.9
0.521,0.068,0.329,0.398,76.3,3.3,35.7,10.7,7.9,158,59.97
0.399,0.056,0.243,0.308,74.9,5,36.7,13,9.7,152,61
0.43,0.07,0.221,0.318,67.8,3.8,35.6,10.2,7.7,158,59.66
0.369,0.069,0.211,0.29,76,3.1,34.1,10.3,7.7,167,65.64
0.369,0.07,0.196,0.284,72,2.7,35.4,9.4,7.1,160,64
0.469,0.101,0.263,0.367,77.5,4.9,33.5,10.7,8.1,153,62.31
0.491,0.12,0.244,0.377,74.3,6.2,32.7,11.7,8.8,147,60.82
0.415,0.059,0.275,0.33,80.7,3.7,34.7,12.4,9.5,129,68.21
0.424,0.095,0.243,0.338,79.5,6.3,33.6,12.7,9.7,150,65.44
0.501,0.119,0.284,0.397,80.4,6.3,33.7,12.1,9.1,156,66.8
0.403,0.102,0.204,0.317,75.9,4.9,34,11.5,8.6,145,65.63
0.403,0.092,0.235,0.325,81.3,5,32.1,11.5,8.6,137,68.76
0.43,0.081,0.257,0.339,78.3,4.3,33,11.7,9,161,67.23
0.456,0.054,0.308,0.357,79.3,3.7,37.9,13,9.8,137,64.24
0.32,0.044,0.159,0.236,63.2,3,37.9,11.2,8.6,160,59.44
0.331,0.054,0.186,0.257,72.5,2.4,38.9,9,6.9,148,54.57
0.326,0.048,0.171,0.245,67.1,3.7,36.7,11,9.1,165,52.78
0.306,0.045,0.152,0.227,64.2,3.5,36.2,10.4,8.1,159,58.86
0.349,0.042,0.224,0.274,76.4,6.3,35.5,14.1,11.2,175,58.46
0.336,0.039,0.206,0.26,72.9,6.2,34.5,13.7,10.7,163,58.53
0.301,0.06,0.126,0.222,61.8,4.5,35.1,10.9,8.6,121,52.89
0.312,0.058,0.174,0.246,74.4,4,35.4,11,8.6,181,64.61
0.301,0.069,0.154,0.24,74.4,3.9,35.5,10.9,8.8,178,60.7
0.41,0.101,0.216,0.324,77.4,5.3,34.7,12.5,9.7,188,64.02
0.448,0.077,0.224,0.33,67.3,4.4,35.8,11.5,8.9,175,50.18
0.347,0.036,0.145,0.235,52.2,4.4,37.7,10.8,8.6,186,41.02
0.338,0.047,0.183,0.254,67.9,3.4,39.2,9.9,7.8,170,53.78
0.55,0.099,0.402,0.457,91.1,3.7,35.5,10.7,8.3,173,81.7
0.461,0.081,0.324,0.381,88,4,35.9,10.4,8.3,154,77.65
0.493,0.056,0.336,0.385,79.4,5.1,34.2,12,9.4,170,71.63
0.549,0.081,0.361,0.43,80.6,4.1,33.4,11.5,8.9,172,71.81
0.43,0.05,0.285,0.335,77.9,3.9,34.2,11.5,8.8,179,70.72
0.364,0.046,0.223,0.281,73.9,4.1,35.1,11.2,8.9,155,64.58
0.341,0.052,0.15,0.244,59.4,4.4,34.4,10.4,8.3,172,47.57
0.551,0.083,0.426,0.46,92.4,3.5,33.7,9.7,7.8,170,76.74
0.699,0.107,0.539,0.578,92.4,4.4,33.4,9.7,7.7,178,87.39
0.398,0.05,0.271,0.317,80.9,5.2,32.5,12.1,9.4,141,65.7
0.373,0.048,0.243,0.295,78.1,5,33.3,12.7,10,100,64.78
0.287,0.041,0.118,0.204,55.3,4.4,32.8,11.7,9.1,161,44.77
0.436,0.095,0.27,0.355,83.7,4.1,35.7,10.4,8.2,161,72.48
0.313,0.064,0.127,0.23,61.2,2.9,36,8.8,6.6,138,49.31
0.37,0.057,0.226,0.291,76.6,4.4,31.9,12.8,10.1,120,61.61
0.369,0.056,0.247,0.299,82.2,4,34.4,11.2,9.3,168,69.75
0.54,0.116,0.118,0.339,43.1,5.2,31.5,11.3,8.6,126,36.64
0.395,0.114,0.148,0.296,66.4,6.3,31.3,12.5,9.9,171,52.64
0.473,0.092,0.153,0.316,52,4.4,32.5,10.9,7.9,164,46.64
0.454,0.127,0.139,0.321,58.7,4.5,31.4,12,9.3,186,66.18
0.391,0.098,0.149,0.286,63,5,32.5,10.9,8.5,175,54.75
0.355,0.08,0.089,0.237,47.55,5.3,33.5,10.2,7.8,156,39.07
0.46,0.101,0.139,0.309,52.1,4.6,33.1,10.9,8.1,151,38.11
0.335,0.05,0.104,0.221,45.9,3.6,35.2,10,7.8,158,40.49
0.489,0.106,0.315,0.4,86.1,3.6,36,9.7,7.7,165,74.08
0.443,0.084,0.225,0.332,69.7,3.7,34.6,9.8,7.1,54,45.55
0.433,0.072,0.268,0.341,78.7,5,34.4,11.4,9.1,122,61.03
0.429,0.07,0.323,0.362,91.8,4.7,34.4,10.6,8.6,177,83.71
0.46,0.079,0.319,0.377,86.6,4.9,34.1,11.3,8.8,169,76.26
0.343,0.053,0.193,0.264,71.8,4.4,35.3,9.9,7.3,185,62.16
0.45,0.067,0.257,0.34,72.1,4.7,32.3,11.9,9.3,173,61.38
0.357,0.056,0.239,0.291,82.6,3.3,35.7,10.9,8.4,149,70.81
0.388,0.056,0.229,0.298,73.3,5,33.3,11,8.6,182,66.46
0.323,0.054,0.197,0.259,77.8,4,33.5,11.8,9.2,153,67.77
0.367,0.057,0.18,0.27,64.6,3.9,36.5,9.6,7.4,182,54.53
0.401,0.054,0.183,0.282,58.9,2.8,36.9,9.2,6.8,179,52.97
0.468,0.057,0.31,0.364,78.3,5,35.7,12.4,9.7,180,63.69
0.38,0.05,0.252,0.302,79.8,3.4,37,10.3,8.2,111,74.1
0.367,0.049,0.254,0.298,82.5,4.1,36.4,10.6,8.3,174,70.37
0.526,0.091,0.366,0.429,86.9,4,34.1,10.9,8.6,170,77.77
0.437,0.079,0.278,0.35,81.7,4.5,33.7,12.3,9.8,170,70.17
0.412,0.101,0.239,0.335,82.6,5.4,33.4,12.8,10.2,174,73.68
0.422,0.09,0.241,0.334,78.5,4.6,35.1,11.4,9.1,176,67.26
0.399,0.115,0.188,0.315,76.1,5.5,32.4,12.7,10.2,175,66.13
0.413,0.09,0.228,0.325,76.9,5.5,32.9,12.6,9.9,187,63.04
0.337,0.047,0.205,0.264,74.7,4.7,34.3,13,10.5,170,63.44
0.392,0.073,0.164,0.28,60.6,4.7,31.5,12.9,10.2,189,54.35
0.382,0.099,0.156,0.287,67,5.2,31.2,13.1,10.2,185,57.37
0.4,0.089,0.221,0.316,77.5,5.9,31.9,13.2,10.3,196,61.22
0.447,0.15,0.2,0.357,78.2,6.8,31.8,12.9,10.2,198,65.31
0.4,0.106,0.212,0.322,79.5,4.6,32.6,12,9.2,202,70.05
0.389,0.101,0.183,0.302,73.1,5,32.9,12.5,9.6,183,64.2
0.372,0.096,0.178,0.291,73.6,5.3,32.8,12.7,9.9,198,65.49
0.363,0.09,0.195,0.292,78.2,5.6,32.9,13,10.2,183,64.18
